Date,conbined_intervention_I,conbined_intervention_I_up,conbined_intervention_I_down,reported_I,simulation_I,simulation_I_up,simulation_I_down
2020-06-04,2.0,2.0,2.0,2,2.0,2.0,2.0
2020-06-05,11.761657037399514,11.767919803674722,11.75201482774613,3,11.761657037399514,11.767919803674722,11.75201482774613
2020-06-06,19.365629294048876,19.38481857450419,19.27085201788193,5,19.365629294048876,19.38481857450419,19.27085201788193
2020-06-07,27.524941240320345,27.81279610026512,26.832472166765662,15,27.524941240320345,27.81279610026512,26.832472166765662
2020-06-08,37.017843291845594,37.85113429856824,35.14648813152622,25,37.017843291845594,37.85113429856824,35.14648813152622
2020-06-09,48.190067895681906,49.890911266355616,44.486123016499036,40,48.190067895681906,49.890911266355616,44.486123016499036
2020-06-10,62.35688179362191,65.44377971402722,55.801720084506854,55,62.575127998318735,65.69692216290147,55.95312168062402
2020-06-11,79.88474603713179,84.98904282938568,69.28232682498827,67,80.46186084624901,85.68035229864964,69.65036888915631
2020-06-12,100.79808372312945,108.63259758762611,84.84728094741615,98,102.86030615963135,111.13436133398366,86.1215193433857
2020-06-13,124.68431389400303,136.0111407920743,102.0628001006126,134,130.21276962642094,142.74559757662917,105.45274045515083
2020-06-14,151.39376849297838,167.05561184174627,120.69882054273639,165,163.86346351722335,182.3425153080487,128.24680431732037
2020-06-15,177.1866915646084,197.34165395305743,138.28455994233911,180,202.06136102606905,228.0425861342188,153.13536423053347
2020-06-16,200.21727320670888,224.60618172334085,153.70514933182528,201,244.05161058348568,279.1420437825036,179.43107675721498
2020-06-17,221.43771227676234,249.97460698933193,167.60405256063905,217,293.69618116420395,340.76740999513015,209.094701097028
2020-06-18,240.33102961406956,272.75703298415385,179.7418499386196,238,349.61820192551835,411.4202497355119,241.14468626899588
2020-06-19,256.5338954464118,292.45318400247817,189.9693077866661,249,411.66556922354766,491.27144315288035,275.2002707146013
2020-06-20,270.3717395011514,309.4295718310503,198.53108095732244,262,478.7706318157456,579.2459564453112,310.4712915497755
2020-06-21,282.27731150897387,324.1888293526231,205.73065979967097,275,552.7441926271312,678.1859437847281,347.56793723142755
2020-06-22,292.0513565604141,336.3979186411666,211.54588945446233,282,631.4401706578403,785.387191446972,385.3733092776524
2020-06-23,299.9049650210195,346.26920441871516,216.15777034163594,285,714.3664383110032,900.4160658217479,423.55690638656944
2020-06-24,306.4142974792654,354.5189219431569,219.91199332409136,302,807.6091201158288,1032.4366168713236,464.45589179752506
2020-06-25,311.91459040279136,361.5581198206371,223.017088591627,305,909.2028965775178,1178.946150900148,507.12498974506644
2020-06-26,316.4577384180601,367.4190992512127,225.53750506265308,322,1018.3282771758304,1339.3034417308527,550.9847310683748
2020-06-27,320.08168758467144,372.12198111480194,227.52322206891193,329,1136.6172146912777,1516.522019922872,596.4157632014565
2020-06-28,322.94135366433466,375.85340396281384,229.0726899137326,329,1267.2565768924903,1716.2132800721724,644.2710032865815
2020-06-29,325.1865593974111,378.7987320543711,230.276158303801,331,1404.520117640166,1929.8459627365505,692.4757400839355
2020-06-30,326.9738917236204,381.1586807965231,231.2214201517583,331,1545.7508028502932,2153.6117439573914,740.0575951949185
2020-07-01,328.39468110371814,383.0468196042493,231.96287745376736,333,1695.8991674194237,2396.299821845082,788.3419258599841
2020-07-02,329.48107489206336,384.4962355033376,232.525762460373,334,1834.3074670282892,2623.505748553973,831.3329511643799
2020-07-03,330.31375545196676,385.61186950054827,232.95382143877117,334,1966.8951728718873,2845.286324791842,870.8067817764007
2020-07-04,330.95155964618465,386.4699689644467,233.27918547326493,335,2092.8046910619328,3059.6109548166323,906.835427680924
2020-07-05,331.43409900112255,387.121173294043,233.52404912632235,335,2214.9376240834117,3271.5010613212635,940.3071196768244
